CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
10/18/2021,17:50,,,40.5854046,-73.9390439,"(40.5854046, -73.9390439)",NOSTRAND AVENUE,SHORE PARKWAY,,0,1,0,0,0,1,0,0,Unsafe Speed,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,4468597,Station Wagon/Sport Utility Vehicle,Bike,,,
11/03/2021,8:35,QUEENS,11377,40.741047,-73.91818,"(40.741047, -73.91818)",47 AVENUE,47 STREET,,0,1,0,0,0,1,0,0,Unspecified,Unspecified,,,,4474072,Box Truck,Bike,,,
01/30/2020,14:39,BROOKLYN,11211,,,,VANDERVOORT AVENUE              ,REWE STREET,,0,1,0,0,0,1,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,4282767,Flat Rack,Bike,Pick-up Truck,Sedan,Sedan
12/18/2019,7:48,,,40.78858,-73.955284,"(40.78858, -73.955284)",TRANSVERSE ROAD NUMBER FOUR     ,,,0,1,0,0,0,1,0,0,Pavement Slippery,Unspecified,,,,4260442,Bus,Bike,,,
11/09/2019,2:33,,,40.801754,-73.93121,"(40.801754, -73.93121)",1 AVENUE                        ,EAST 125 STREET,,0,1,0,0,0,1,0,0,Traffic Control Disregarded,Unspecified,,,,4239304,Dump,Bike,,,
10/30/2019,10:09,BROOKLYN,11230,40.6094,-73.967674,"(40.6094, -73.967674)",OCEAN PARKWAY                   ,AVENUE P,,0,1,0,0,0,1,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4236734,Station Wagon/Sport Utility Vehicle,Bike,,,
09/27/2019,19:44,QUEENS,11693,40.586746,-73.81712,"(40.586746, -73.81712)",ROCKAWAY FREEWAY                ,BEACH 94 STREET,,0,1,0,0,0,1,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4214054,Bike,Station Wagon/Sport Utility Vehicle,,,
10/13/2019,13:27,QUEENS,11693,40.612522,-73.81978,"(40.612522, -73.81978)",CROSS BAY BOULEVARD             ,EAST 4 ROAD,,0,1,0,0,0,1,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4227325,Station Wagon/Sport Utility Vehicle,Bike,,,
10/12/2019,23:51,QUEENS,11434,40.65616,-73.76736,"(40.65616, -73.76736)",ROCKAWAY BOULEVARD              ,BREWER BOULEVARD,,1,1,0,0,1,1,0,0,Alcohol Involvement,Other Lighting Defects,,,,4223206,Sedan,E-Sco,,,
09/21/2019,13:54,QUEENS,11101,40.740913,-73.95226,"(40.740913, -73.95226)",BORDEN AVENUE                   ,11 STREET,,0,1,0,0,0,1,0,0,Unspecified,Unspecified,,,,4210973,Dump,Bike,,,
10/05/2019,10:33,,,40.628803,-73.97404,"(40.628803, -73.97404)",SETON PLACE                     ,FOSTER AVENUE,,0,1,0,0,0,1,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4225519,Pick-up Truck,Bike,,,
08/26/2019,15:21,,,,,,EAST DRIVE                      ,EAST 74 STREET,,1,1,1,0,0,1,0,0,Other Vehicular,,,,,4195176,E-Bik,,,,
09/08/2019,21:32,BROOKLYN,11215,40.669655,-73.99253,"(40.669655, -73.99253)",3 AVENUE                        ,12 STREET,,0,1,0,0,0,1,0,0,Unspecified,Unspecified,,,,4201958,Garbage or Refuse,E-Bik,,,
09/02/2019,6:00,BROOKLYN,11206,40.699673,-73.940056,"(40.699673, -73.940056)",,,805       BROADWAY                      ,0,1,0,0,0,1,0,0,Aggressive Driving/Road Rage,Unspecified,Unspecified,Unspecified,Unspecified,4198817,Tractor Truck Diesel,Station Wagon/Sport Utility Vehicle,Bike,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
08/11/2019,12:27,BROOKLYN,11230,40.619984,-73.96427,"(40.619984, -73.96427)",CONEY ISLAND AVENUE             ,AVENUE L,,1,1,0,0,0,1,1,0,Unsafe Speed,Unspecified,Unspecified,,,4188033,Sedan,Bike,Station Wagon/Sport Utility Vehicle,,
07/23/2019,12:00,STATEN ISLAND,10310,40.633858,-74.12596,"(40.633858, -74.12596)",CLOVE ROAD                      ,CASTLETON AVENUE,,0,1,0,0,0,1,0,0,Traffic Control Disregarded,Unspecified,,,,4175816,Tow Truck / Wrecker,Bike,,,
