CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
07/08/2017,23:25,BROOKLYN,11212,40.6692,-73.91743,"(40.6692, -73.91743)",,,477       SARATOGA AVENUE               ,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,,,3708322,Pick-up Truck,Sedan,Bike,,
07/13/2017,11:00,BROOKLYN,11205,40.68945,-73.96809,"(40.68945, -73.96809)",DE KALB AVENUE                  ,CLINTON AVENUE,,1,0,0,0,1,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,Unspecified,,,3711455,Sedan,Box Truck,Bike,,
07/12/2017,9:20,MANHATTAN,10001,40.745125,-73.99217,"(40.745125, -73.99217)",,,117       WEST 26 STREET                ,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Driver Inattention/Distraction,,,3710306,Taxi,Sedan,Bike,,
07/20/2017,9:39,MANHATTAN,10023,,,,COLUMBUS AVENUE                 ,WEST 66 STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,3715998,Station Wagon/Sport Utility Vehicle,Pick-up Truck,Bike,,
07/10/2017,18:20,QUEENS,11105,40.772583,-73.91036,"(40.772583, -73.91036)",23 AVENUE                       ,36 STREET,,2,0,0,0,2,0,0,0,Turning Improperly,Unspecified,Unspecified,,,3708590,Station Wagon/Sport Utility Vehicle,Bike,Bike,,
07/24/2017,19:18,QUEENS,11418,40.693657,-73.8398,"(40.693657, -73.8398)",107 STREET                      ,90 AVENUE,,2,0,0,0,2,0,0,0,Unsafe Speed,Unspecified,Unspecified,,,3717931,Sedan,Bike,Bike,,
07/18/2017,8:04,MANHATTAN,10032,40.84215,-73.94228,"(40.84215, -73.94228)",FORT WASHINGTON AVENUE          ,WEST 168 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,Unspecified,,,3713469,Sedan,Sedan,Bike,,
07/04/2017,21:00,QUEENS,11105,40.782513,-73.91976,"(40.782513, -73.91976)",SHORE BOULEVARD                 ,DITMARS BOULEVARD,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3705231,Station Wagon/Sport Utility Vehicle,Bike,Bike,,
07/13/2017,12:30,BROOKLYN,11218,40.643757,-73.979645,"(40.643757, -73.979645)",,,432       MC DONALD AVENUE              ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3711054,Sedan,PK,Bike,,
07/22/2017,21:51,BRONX,10467,40.857983,-73.8618,"(40.857983, -73.8618)",PELHAM PARKWAY NORTH            ,BRONXWOOD AVENUE,,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Failure to Yield Right-of-Way,Other Vehicular,,,3717391,Station Wagon/Sport Utility Vehicle,Sedan,Bike,,
